# Hesudhar Corrections File
# Format: incorrect_word|corrected_word
# This file is automatically updated when the database changes
# Last updated: 2025-08-12
# Total entries: 9607

آئينه|آئينہ
ساڱاهي|ساڱاھي
ساڱهه|ساڱهہ
ساڱهو|ساڱھو
ساڳاهي|ساڳاھي
سالاهڻ|سالاھڻ
سالگره|سالگرہ
سالها|سالھا
سامعه|سامعہ
سامنهر|سامنھر
سامھائي|سامهائي
سامھڻائي|سامهڻائي
سامھڻو|سامهڻو
سامھون|سامهون
سامھي|سامهي
سامھين|سامهين
ساموهي|ساموھي
سانباهڻ|سانباھڻ
سانباهه|سانباھ
سانباهو|سانباھو
سانباهي|سانباھي
سانبوهي|سانبوھي
سانبوهيون|سانبوھيون
سانجهَه|سانجهَہ
سانجھاڻي|سانجهاڻي
سانجھھ|سانجھہ
سانجھي|سانجهي
سانجھيجا|سانجهيجا
سانجھيڪو|سانجهيڪو
سانڃاهه|سانڃاھ
ساندهه|ساندھ
سانگاهڻ|سانگاھڻ
سانگاهي|سانگاھي
سانگهه|سانگهہ
سانگھائي|سانگهائي
سانگھار|سانگهار
سانگھارجڻ|سانگهارجڻ
سانگھارڻ|سانگهارڻ
سانگھارو|سانگهارو
سانگھر|سانگهر
سانگھرو|سانگهرو
سانگھڙ|سانگهڙ
سانگھڙو|سانگهڙو
سانگھڙي|سانگهڙي
سانگھو|سانگهو
سانگھي|سانگهي
سانگھيرو|سانگهيرو
سانگھيڙ|سانگهيڙ
سانگھيڙو|سانگهيڙو
سانگھيڙي|سانگهيڙي
سانڱاهڻ|سانڱاھڻ
سانهاري|سانھاري
سانهر|سانھر
سانهستو|سانھستو
سانهن|سانھن
سانهنجو|سانھنجو
سانهنچو|سانھنچو
سانهڻ|سانھڻ
سانهه|سانھہ
ساڻيهه|ساڻيھہ
ساڻيھھ|ساڻيھہ
ساه|ساھ
ساها|ساھا
ساهت|ساھت
ساهتا|ساھتا
ساهتي|ساھتي
ساهتيا|ساھتيا
ساهجڻ|ساھجڻ
ساهر|ساھر
ساهرا|ساھرا
ساهراڻو|ساھراڻو
ساهرو|ساھرو
ساهروٿي|ساھروٿي
ساهڙ|ساھڙ
ساهڙڪو|ساھڙڪو
ساهس|ساھس
ساهڪاڻ|ساھڪاڻ
ساهڪي|ساھڪي
ساهماڻي|ساھماڻي
ساهنگو|ساھنگو
ساهڻ|ساھڻ
ساهه|ساھ
ساهو|ساھو
ساهوال|ساھوال
ساهورو|ساھورو
ساهومو|ساھومو
ساهي|ساھي
ساهيٽو|ساھيٽو
ساهيڙپ|ساھيڙپ
ساهيڙي|ساھيڙي
ساهيلي|ساھيلي
ساھه|ساھہ
ساھھ|ساھہ
سايه|سايہ
سبزه|سبزہ
سبعه|سبعہ
سٻاجھو|سٻاجهو
سٻوجهه|سٻوجهہ
سٻوجھو|سٻوجهو
سپاهت|سپاھت
سپاهتي|سپاھتي
سپاهڪو|سپاھڪو
سپاهگري|سپاھگري
سپاهگيري|سپاھگيري
سپاهه|سپاھ
سپاهي|سپاھي
سپاهياڻو|سپاھياڻو
سپهتو|سپھتو
سپهڏي|سپھڏي
سپهر|سپھر
سپهه|سپھہ
سڀهو|سڀھو
ستائيهه|ستائيھہ
ستاره|ستارہ
ستاويهه|ستاويھہ
ستٽيهه|ستٽيھہ
سترهن|سترھن
سترهون|سترھون
ستهتر|ستھتر
ستهٺ|ستھٺ
ستهن|ستھن
ستهه|ستھہ
ستهين|ستھين
ستونجاهه|ستونجاھ
ستوهه|ستوھہ
ستوهو|ستوھو
ستيتاليهه|ستيتاليھہ
سٽهه|سٽھہ
سجاده|سجادہ
سجّاده|سجّادہ
سجاه|سجاھ
سجاهڻ|سجاھڻ
سجاهه|سجاھ
سجده|سجدہ
سجهاهه|سجهاھ
سجهه|سجهہ
سجھائتو|سجهائتو
سجھائڻ|سجهائڻ
سجھائيو|سجهائيو
سجھاتي|سجهاتي
سجھاڪو|سجهاڪو
سجھڪيون|سجهڪيون
سجھندو|سجهندو
سجھڻ|سجهڻ
سجھوڳ|سجهوڳ
سجھي|سجهي
سجھيء|سجهيء
سجيهه|سجيھہ
سجيهو|سجيھو
سڃهار|سڃھار
سڃهر|سڃھر
سڃهرو|سڃھرو
سدابهار|سدابھار
سڏوهو|سڏوھو
سراسيمه|سراسيمہ
سراه|سراھ
سراهجڻ|سراھجڻ
سراهڻ|سراھڻ
سراهي|سراھي
سربراهڪار|سربراھڪار
سربراهي|سربراھي
سرپره|سرپرہ
سرجڻهار|سرجڻھار
سرجهه|سرجهہ
سرجھڻ|سرجهڻ
سرجھو|سرجهو
سرچيهو|سرچيھو
سرمئه|سرمئہ
سرمالھي|سرمالهي
سرمه|سرمہ
سرنگهه|سرنگهه
سرنگھڙو|سرنگهڙو
سرنگھو|سرنگهو
سرنهن|سرنھن
سرنهڻ|سرنھڻ
سرنهه|سرنھہ
سرنواه|سرنواھ
سرها|سرھا
سرهائي|سرھائي
سرهاٽ|سرھاٽ
سرهاري|سرھاري
سرهاڙو|سرھاڙو
سرهال|سرھال
سرهاموٺ|سرھاموٺ
سرهاڻ|سرھاڻ
سرهاڻو|سرھاڻو
سرهاڻي|سرھاڻي
سرهجڻ|سرھجڻ
سرهل|سرھل
سرهن|سرھن
سرهندي|سرھندي
سرهنگ|سرھنگ
سرهڻ|سرھڻ
سرهڻو|سرھڻو
سرهه|سرھہ
سرهو|سرھو
سرهون|سرھون
سرهي|سرھي
سرهيا|سرھيا
سرهياري|سرھياري
سرهيال|سرھيال
سرهيل|سرھيل
سرهيو|سرھيو
سرواه|سرواھ
سرواهي|سرواھي
سروجھي|سروجهي
سروهي|سروھي
سريعالفهم|سريعالفھم
سريهن|سريھن
سريهه|سريھہ
سڙهاڪو|سڙھاڪو
سڙهڪو|سڙھڪو
سڙهڻ|سڙھڻ
سڙهه|سڙھہ
سڙهي|سڙھي
سسيهر|سسيھر
سسيهل|سسيھل
سڪڻنه|سڪڻنہ
سگهه|سگهہ
سگھائتو|سگهائتو
سگھائجڻ|سگهائجڻ
سگھائي|سگهائي
سگھاتو|سگهاتو
سگھارو|سگهارو
سگھاڻ|سگهاڻ
سگھاڻو|سگهاڻو
سگھت|سگهت
سگھتو|سگهتو
سگھرائپ|سگهرائپ
سگھرو|سگهرو
سگھڙ|سگهڙ
سگھڙائي|سگهڙائي
سگھڙو|سگهڙو
سگھڙيو|سگهڙيو
سگھڻ|سگهڻ
سگھو|سگهو
سگھوئي|سگهوئي
سگھير|سگهير
سگھيرڙپ|سگهيرڙپ
سگھيرڙو|سگهيرڙو
سگھيرو|سگهيرو
سڱوهجڻ|سڱوھجڻ
سڳهڙ|سڳھڙ
سڳهڙو|سڳھڙو
سلاڙهڻ|سلاڙھڻ
سلاڙهه|سلاڙھہ
سلاهڻ|سلاھڻ
سلاهه|سلاھ
سلجھائڻ|سلجهائڻ
سلجھائيندڙ|سلجهائيندڙ
سلجھڻ|سلجهڻ
سلطانه|سلطانہ
سلهه|سلهہ
سلھائڻ|سلهائڻ
سلھاڙ|سلهاڙ
سلھاڙجڻ|سلهاڙجڻ
سلھاڙڻ|سلهاڙڻ
سلھٽ|سلهٽ
سلھٽر|سلهٽر
سلھڙ|سلهڙ
سلھڻ|سلهڻ
سليقئه|سليقئہ
سليقه|سليقہ
سماڙهو|سماڙھو
سماهه|سماھ
سمجهه|سمجهہ
سمجھائڻ|سمجهائڻ
سمجھاڻي|سمجهاڻي
سمجھدار|سمجهدار
سمجھڻ|سمجهڻ
سمجھه|سمجھہ
سمجھھ|سمجھہ
سمجھو|سمجهو
سمجھي|سمجهي
سمنگهه|سمنگهہ
سمنگھي|سمنگهي
سمهباڻي|سمھباڻي
سمهري|سمھري
سمهڙو|سمھڙو
سمهڻون|سمھڻون
سمهه|سمهہ
سمهورو|سمھورو
سمهوري|سمھوري
سمهير|سمھير
سمھابو|سمهابو
سمھارڻ|سمهارڻ
سمھاڙو|سمهاڙو
سمھاڙي|سمهاڙي
سمھاڻي|سمهاڻي
سمھڻ|سمهڻ
سموهڻ|سموھڻ
سموهه|سموھہ
سنباهڻ|سنباھڻ
سنباهه|سنباھ
سنباهي|سنباھي
سنبهائڻ|سنبھائڻ
سنبهڻ|سنبھڻ
سنبهه|سنبھہ
سنبوهي|سنبوھي
سنڀاهه|سنڀاھ
سنجهه|سنجهہ
سنجھا|سنجها
سنجھراهه|سنجهراھ
سنجھو|سنجهو
سنجھوٽي|سنجهوٽي
سنجھورو|سنجهورو
سنجھي|سنجهي
سنجھيئي|سنجهيئي
سنجوهڻ|سنجوھڻ
سنجيهه|سنجيهہ
سنديهه|سنديھہ
سنڌيهو|سنڌيھو
سنگاهڻ|سنگاھڻ
سنگراهه|سنگراھ
سنگره|سنگرہ
سنگرهڻ|سنگرھڻ
سنگهه|سنگهہ
سنگھا|سنگها
سنگھائڻ|سنگهائڻ
سنگھائي|سنگهائي
سنگھاٽڻ|سنگهاٽڻ
سنگھار|سنگهار
سنگھارڪو|سنگهارڪو
سنگھارڪي|سنگهارڪي
سنگھارڻ|سنگهارڻ
سنگھارو|سنگهارو
سنگھاڙو|سنگهاڙو
سنگھر|سنگهر
سنگھرو|سنگهرو
سنگھري|سنگهري
سنگھريو|سنگهريو
سنگھڙ|سنگهڙ
سنگھڙڻ|سنگهڙڻ
سنگھڙي|سنگهڙي
سنگھم|سنگهم
سنگھڻ|سنگهڻ
سنگھو|سنگهو
سنگھوڙو|سنگهوڙو
سنگھي|سنگهي
سنگھيڙ|سنگهيڙ
سنهائي|سنھائي
سنهار|سنھار
سنهارو|سنھارو
سنهاري|سنھاري
سنهاڻ|سنھاڻ
سنهپ|سنھپ
سنهت|سنھت
سنهند|سنھند
سنهندو|سنھندو
سنهوئي|سنھوئي
سنهوار|سنھوار
سنهور|سنھور
سنھرو|سنهرو
سنھڙو|سنهڙو
سنھڙي|سنهڙي
سنھن|سنهن
سنيه|سنيہ
سنيهائي|سنيھائي
سنيهڙو|سنيھڙو
سنيهنو|سنيھنو
سنيهه|سنيھہ
سنيهو|سنيھو
سنيهي|سنيھي
سڻگهه|سڻگهہ
سڻگھون|سڻگهون
سڻهپ|سڻھپ
سڻهڻ|سڻھڻ
سڻهه|سڻھہ
سها|سھا
سهاء|سھاء
سهائپ|سھائپ
سهائتا|سھائتا
سهائتو|سھائتو
سهائڪ|سھائڪ
سهائڻ|سھائڻ
سهائڻو|سھائڻو
سهائو|سھائو
سهائي|سھائي
سهائيندو|سھائيندو
سهابت|سھابت
سهاتي|سھاتي
سهاجڙو|سھاجڙو
سهاجو|سھاجو
سهادو|سھادو
سهار|سھار
سهارنپوري|سھارنپوري
سهارڻ|سھارڻ
سهارو|سھارو
سهاري|سھاري
سهاڙ|سھاڙ
سهاڳ|سھاڳ
سهاڳا|سھاڳا
سهاڳڻ|سھاڳڻ
سهاڳڻيون|سھاڳڻيون
سهاڳو|سھاڳو
سهاڳي|سھاڳي
سهام|سھام
سهان|سھان
سهانجڙو|سھانجڙو
سهاندڙو|سھاندڙو
سهانگ|سھانگ
سهانگائي|سھانگائي
سهانگپ|سھانگپ
سهانگو|سھانگو
سهانو|سھانو
سهٻڏو|سھٻڏو
سهت|سھت
سهتا|سھتا
سهتائڻ|سھتائڻ
سهتڻ|سھتڻ
سهتو|سھتو
سهٽ|سھٽ
سهج|سھج
سهجاڻي|سھجاڻي
سهجر|سھجر
سهجڙو|سھجڙو
سهجڻ|سھجڻ
سهجو|سھجو
سهجي|سھجي
سهجين|سھجين
سهڃاڻ|سھڃاڻ
سهڃاڻي|سھڃاڻي
سهڄ|سھڄ
سهڄو|سھڄو
سهچار|سھچار
سهد|سھد
سهدار|سھدار
سهدو|سھدو
سهر|سھر
سهرا|سھرا
سهراب|سھراب
سهرابي|سھرابي
سهرات|سھرات
سهرو|سھرو
سهروردي|سھروردي
سهرياڻي|سھرياڻي
سهڙ|سھڙ
سهڙا|سھڙا
سهڙائڻ|سھڙائڻ
سهڙڪي|سھڙڪي
سهڙڻ|سھڙڻ
سهڙي|سھڙي
سهس|سھس
سهسائڻ|سھسائڻ
سهسيرڙو|سھسيرڙو
سهسين|سھسين
سهکو|سھکو
سهڪار|سھڪار
سهڪجي|سھڪجي
سهڪڙو|سھڪڙو
سهڪڻ|سھڪڻ
سهڪو|سھڪو
سهڪي|سھڪي
سهگڙو|سھگڙو
سهڳ|سھڳ
سهل|سھل
سهلڻ|سھلڻ
سهم|سھم
سهما|سھما
سهمائڻ|سھمائڻ
سهماڻي|سھماڻي
سهمجڻ|سھمجڻ
سهمڻ|سھمڻ
سهمو|سھمو
سهميل|سھميل
سهن|سھن
سهنج|سھنج
سهنجا|سھنجا
سهنجائپ|سھنجائپ
سهنجائي|سھنجائي
سهنجو|سھنجو
سهنڃ|سھنڃ
سهند|سھند
سهندڙو|سھندڙو
سهندو|سھندو
سهنڌ|سھنڌ
سهنگائي|سھنگائي
سهنگو|سھنگو
سهڻ|سھڻ
سهڻا|سھڻا
سهڻائي|سھڻائي
سهڻو|سھڻو
سهڻي|سھڻي
سهڻيءَ|سھڻيءَ
سهه|سھہ
سهو|سھو
سهوا|سھوا
سهوالقلم|سھوالقلم
سهواڻ|سھواڻ
سهول|سھول
سهولت|سھولت
سهونجي|سھونجي
سهي|سھي
سهيپ|سھيپ
سهيپو|سھيپو
سهيتائڻ|سھيتائڻ
سهيتڻ|سھيتڻ
سهيجا|سھيجا
سهيجاڻي|سھيجاڻي
سهيرل|سھيرل
سهيرو|سھيرو
سهيڙ|سھيڙ
سهيڙجڻ|سھيڙجڻ
سهيڙڻ|سھيڙڻ
سهيڙو|سھيڙو
سهيس|سھيس
سهيل|سھيل
سهيلا|سھيلا
سهيلائي|سھيلائي
سهيلپ|سھيلپ
سهيلو|سھيلو
سهيلي|سھيلي
سهيلين|سھيلين
سهيند|سھيند
سهيندي|سھيندي
سهينديء|سھينديء
سهيڻو|سھيڻو
سهيو|سھيو
سواهرو|سواھرو
سوٽهڙ|سوٽھڙ
سوٽهڙڪو|سوٽھڙڪو
سوٽهل|سوٽھل
سوجھا|سوجها
سوجھائڻ|سوجهائڻ
سوجھاڪو|سوجهاڪو
سوجھاڳو|سوجهاڳو
سوجھرو|سوجهرو
سوجھڙ|سوجهڙ
سوجھڙباراني|سوجهڙباراني
سوجھڻ|سوجهڻ
سوجھھ|سوجهہ
سوجھو|سوجهو
سوجھي|سوجهي
سوخته|سوختہ
سورانگھڻ|سورانگهڻ
سورھيھ|سورهيہ
سورينگھھ|سورينگهہ
سوڙاھھ|سوڙاه
سوڙھا|سوڙها
سوڙھاڳ|سوڙهاڳ
سوڙھڻ|سوڙهڻ
سوڙھھ|سوڙه
سوڙھو|سوڙهو
سوڙھي|سوڙهي
سوڪهڙو|سوڪھڙو
سوڪهڙي|سوڪھڙي
سوگھائي|سوگهائي
سوگھارو|سوگهارو
سوگھاڻ|سوگهاڻ
سوگھھ|سوگهہ
سوگھو|سوگهو
سولھڙ|سولهڙ
سولھي|سولهي
سومھڻي|سومهڻي
سومھياڻي|سومهياڻي
سونجھڙو|سونجهڙو
سونجھڻ|سونجهڻ
سونجھڻو|سونجهڻو
سونجھھ|سونجهہ
سونجھو|سونجهو
سونجھيو|سونجهيو
سونگھڻ|سونگهڻ
سونگھي|سونگهي
سونهائڻ|سونھائڻ
سونهائي|سونھائي
سونهارو|سونھارو
سونهاري|سونھاري
سونهالو|سونھالو
سونهپ|سونھپ
سونهر|سونھر
سونهري|سونھري
سونهڙا|سونھڙا
سونهن|سونھن
سونهڻ|سونھڻ
سونهون|سونھون
سونهي|سونھي
سونهيرا|سونھيرا
سونهيري|سونھيري
سونهين|سونھين
سونهيون|سونھيون
سونواهه|سونواھ
سوهئڻ|سوھئڻ
سوهائڻ|سوھائڻ
سوهاتو|سوھاتو
سوهارو|سوھارو
سوهان|سوھان
سوهرو|سوھرو
سوهڙو|سوھڙو
سوهڪي|سوھڪي
سوهم|سوھم
سوهمو|سوھمو
سوهنجو|سوھنجو
سوهڻ|سوھڻ
سوهڻون|سوھڻون
سوهو|سوھو
سوهي|سوھي
سوهيتر|سوھيتر
سوهيرو|سوھيرو
سوهيڙو|سوھيڙو
سويرڙاهون|سويرڙاھون
سويرهون|سويرھون
سويساهو|سويساھو
سويلاهون|سويلاھون
سياره|سيارہ
سياه|سياھ
سياهان|سياھان
سياهه|سياھ
سياهو|سياھو
سياهي|سياھي
سيپاره|سيپارہ
سيجاه|سيجاھ
سيجاهرو|سيجاھرو
سيجھرو|سيجهرو
سيڃاهو|سيڃاھو
سيڃهه|سيڃھہ
سيڄاهو|سيڄاھو
سيراهه|سيراھ
سيراهي|سيراھي
سيرهڻ|سيرھڻ
سيرهه|سيرھ
سيڙاهي|سيڙاھي
سيڙھ|سيڙه
سيڙھاني|سيڙهاني
سيڙھاڻي|سيڙهاڻي
سيڙھجي|سيڙهجي
سيڙھڪا|سيڙهڪا
سيڙھڻ|سيڙهڻ
سيڙھھ|سيڙه
سيڙھو|سيڙهو
سيڙھي|سيڙهي
سيڙھيار|سيڙهيار
سيگھھ|سيگهہ
سيگھو|سيگهو
سيگھي|سيگهي
سيلھڻ|سيلهڻ
سيلھھ|سيلهہ
سيلھو|سيلهو
سيلھور|سيلهور
سيلھورڻ|سيلهورڻ
سيلھوڙو|سيلهوڙو
سيلھي|سيلهي
سينگھاري|سينگهاري
سينهال|سينھال
سينهڙا|سينھڙا
سينهن|سينھن
سينهند|سينھند
سينهندو|سينھندو
سينهندي|سينھندي
سينهه|سينھہ
سينهو|سينھو
سينهور|سينھور
سينهوري|سينھوري
سينهوڙو|سينھوڙو
سينهون|سينھون
سيڻاهه|سيڻاھ
سيڻاهيو|سيڻاھيو
سيڻهڏي|سيڻھڏي
سيڻهه|سيڻهہ
سيهالف|سيھالف
سيهراج|سيھراج
سيهري|سيھري
سيهڙ|سيھڙ
سيهڙا|سيھڙا
سيهڙو|سيھڙو
سيهو|سيھو
سيوھڻ|سيوهڻ
شائبه|شائبہ
شانهر|شانھر
شانهريل|شانھريل
شانهڙي|شانھڙي
شاهانه|شاھانہ
شاهاڻو|شاھاڻو
شاهاڻي|شاھاڻي
شاهباز|شاھباز
شاهبوم|شاھبوم
شاهپئي|شاھپئي
شاهپور|شاھپور
شاهترو|شاھترو
شاهد|شاھد
شاهداڻو|شاھداڻو
شاهدي|شاھدي
شاهزادو|شاھزادو
شاهزادي|شاھزادي
شاهڪار|شاھڪار
شاهڪپور|شاھڪپور
شاهل|شاھل
شاهنامو|شاھنامو
شاهنشاهه|شاھنشاھ
شاهنشاهي|شاھنشاھي
شاهه|شاھہ
شاهو|شاھو
شاهواڻي|شاھواڻي
شاهوڙ|شاھوڙ
شاهوڪ|شاھوڪ
شاهوڪار|شاھوڪار
شاهوڪاري|شاھوڪاري
شاهول|شاھول
شاهي|شاھي
شاهين|شاھين
شاهينگ|شاھينگ
شاھھ|شاھہ
شباهت|شباھت
شبه|شبہ
شبهه|شبھہ
شبهو|شبھو
شبيه|شبيھ
شتاه|شتاھ
شجراه|شجراھ
شجراهه|شجراھہ
شده|شدہ
شرطه|شرطہ
شرطيہ|شرطيه
شرنهه|شرنھہ
شرواه|شرواھ
شريفه|شريفہ
شسته|شستہ
ششماهي|ششماھي
شعبده|شعبدہ
شعله|شعلہ
شفعه|شفعہ
شفويه|شفويہ
شڪرانه|شڪرانہ
شڪردهن|شڪردھن
شڪسته|شڪستہ
شڪوه|شڪوہ
شگفته|شگفتہ
شنهار|شنھار
شنهارجي|شنھارجي
شنهاري|شنھاري
شنيده|شنيدہ
شه|شہ
شهاب|شھاب
شهابي|شھابي
شهادت|شھادت
شهامت|شھامت
شهاڻي|شھاڻي
شهبارڪاڻي|شھبارڪاڻي
شهباز|شھباز
شهبيگ|شھبيگ
شهپر|شھپر
شهتا|شھتا
شهتارو|شھتارو
شهتر|شھتر
شهتوت|شھتوت
شهد|شھد
شهداء|شھداء
شهداد|شھداد
شهدادپور|شھدادپور
شهدو|شھدو
شهدي|شھدي
شهر|شھر
شهرت|شھرت
شهرتو|شھرتو
شهرو|شھرو
شهري|شھري
شهريار|شھريار
شهريت|شھريت
شهزادو|شھزادو
شهزوري|شھزوري
شهڪ|شھڪ
شهڪر|شھڪر
شهگوش|شھگوش
شهل|شھل
شهلي|شھلي
شهمال|شھمال
شهمڻ|شھمڻ
شهمير|شھمير
شهمينگ|شھمينگ
شهنائي|شھنائي
شهنشاه|شھنشاه
شهنشاهي|شھنشاھي
شهننگ|شھننگ
شهڻا|شھڻا
شهه|شهہ
شهواني|شھواني
شهواڻي|شھواڻي
شهوت|شھوت
شهوتي|شھوتي
شهوٽ|شھوٽ
شهوٽائتو|شھوٽائتو
شهوٽو|شھوٽو
شهود|شھود
شهور|شھور
شهول|شھول
شهونگ|شھونگ
شهوڻي|شھوڻي
شهيجا|شھيجا
شهيد|شھيد
شهيدان|شھيدان
شهيدين|شھيدين
شهير|شھير
شهين|شھين
شوريده|شوريدہ
شوهر|شوھر
شيرازه|شيرازہ
شيرشاه|شيرشاہ
شيره|شيرہ
شيرواه|شيرواہ
شينهڙا|شينھڙا
شينهڙو|شينھڙو
شينهن|شينھن
شينهڻ|شينھڻ
شيهو|شيھو
شيهي|شيھي
صادقه|صادقہ
صاهرا|صاھرا
صحابه|صحابہ
صخرهه|صخرہ
صدها|صدھا
صه|صہ
صهبا|صھبا
ضابطه|ضابطہ
ضعيفه|ضعيفہ
طاهر|طاھر
طاهري|طاھري
طعنه|طعنہ
طهارت|طھارت
طهر|طھر
طهرت|طھرت
طهرڻ|طھرڻ
طهري|طھري
طهور|طھور
طهورا|طھورا
طياره|طيارہ
طيبه|طيبہ
ظاهر|ظاھر
ظاهربين|ظاھربين
ظاهردار|ظاھردار
ظاهرداري|ظاھرداري
ظاهري|ظاھري
ظهر|ظھر
ظهور|ظھور
ظهورو|ظھورو
ظهير|ظھير
ظهيري|ظھيري
عاجزه|عاجزہ
عارفانه|عارفانہ
عبادتگاهه|عبادتگاھ
عبهر|عبھر
عذرخواهي|عذرخواھي
عشره|عشرہ
عشقه|عشقہ
عشوه|عشوہ
عقده|عقدہ
علاوه|علاوہ
عليه|عليہ
عليواهڻ|عليواھڻ
عمامه|عمامہ
عهد|عھد
عهدشڪني|عھدشڪني
عهدنامو|عھدنامو
عهدو|عھدو
عهدي|عھدي
عهديدار|عھديدار
عينلهر|عينلھر
غائبانه|غائبانہ
غازه|غازہ
غرضانه|غرضانہ
غلطفهمي|غلطفھمي
غله|غلہ
غنڊه|غنڊہ
فاتحه|فاتحہ
فاخته|فاختہ
فاخره|فاخرہ
فادزهر|فادزھر
فاصله|فاصلہ
فاطمه|فاطمه
فاقه|فاقہ
فتوهي|فتوھي
فديه|فديہ
فراهم|فراھم
فربه|فربہ
فرخنده|فرخندہ
فرزانه|فرزانہ
فرسوده|فرسودہ
فرهاد|فرھاد
فرهنگ|فرھنگ
فرهي|فرھي
فريضه|فريضہ
فريفته|فريفتہ
فعليه|فعليہ
فقه|فقہ
فقهو|فقھو
فقيهه|فقيھہ
فلسفه|فلسفہ
فهار|فھار
فهارو|فھارو
فهرست|فھرست
فهم|فھم
فهمائش|فھمائش
فهمي|فھمي
فهميدو|فھميدو
فهميون|فھميون
فهيم|فھيم
فوجگاهه|فوجگاه
فينگھوريا|فينگهوريا
فيه|فيہ
ڦاراهو|ڦاراھو
ڦارهڏي|ڦارھڏي
ڦارهو|ڦارھو
ڦارهون|ڦارھون
ڦارهيو|ڦارھيو
ڦاروهو|ڦاروھو
ڦاڙھا|ڦاڙها
ڦاڙھو|ڦاڙهو
ڦاڙھيارو|ڦاڙهيارو
ڦالھو|ڦالهو
ڦانجھروٽو|ڦانجهروٽو
ڦانجھو|ڦانجهو
ڦانگھو|ڦانگهو
ڦانهن|ڦانھن
ڦاها|ڦاھا
ڦاهو|ڦاھو
ڦاهي|ڦاھي
ڦتهي|ڦتھي
ڦتوهل|ڦتوھل
ڦٽهڙو|ڦٽھڙو
ڦٽوهڙ|ڦٽوھڙ
ڦديهه|ڦديھہ
ڦڏهڙي|ڦڏھڙي
ڦراهو|ڦراھو
ڦرها|ڦرھا
ڦرهار|ڦرھار
ڦرهاروڙڻ|ڦرھاروڙڻ
ڦرهر|ڦرھر
ڦرهڙي|ڦرھڙي
ڦرهه|ڦرھ
ڦرهو|ڦرھو
ڦرهوڙي|ڦرھوڙي
ڦرهي|ڦرھي
ڦرهيڙي|ڦرھيڙي
ڦرهيو|ڦرھيو
ڦريلهجڻ|ڦريلھجڻ
ڦڙهٿو|ڦڙھٿو
ڦڙهڻ|ڦڙھڻ
ڦڙهه|ڦڙهہ
ڦڙھو|ڦڙهو
ڦڙيهه|ڦڙيھہ
ڦڪانجھرو|ڦڪانجهرو
ڦڪانجھو|ڦڪانجهو
ڦڳهين|ڦڳھين
ڦلھائي|ڦلهائي
ڦلھار|ڦلهار
ڦلھارجڻ|ڦلهارجڻ
ڦلھڏي|ڦلهڏي
ڦلھڏيون|ڦلهڏيون
ڦلھڙو|ڦلهڙو
ڦلھو|ڦلهو
ڦلھيار|ڦلهيار
ڦلھير|ڦلهير
ڦلھيرڻ|ڦلهيرڻ
ڦلواهڻ|ڦلواھڻ
ڦلوهو|ڦلوھو
ڦليهر|ڦليھر
ڦنجهه|ڦنجهہ
ڦنجھڻ|ڦنجهڻ
ڦنجھو|ڦنجهو
ڦنجھون|ڦنجهون
ڦنگهه|ڦنگهہ
ڦنگھڻ|ڦنگهڻ
ڦنگھو|ڦنگهو
ڦنگھي|ڦنگهي
ڦڻهه|ڦڻهہ
ڦڻيهاري|ڦڻيھاري
ڦهائي|ڦھائي
ڦهار|ڦھار
ڦهارو|ڦھارو
ڦهڪا|ڦھڪا
ڦهڪاء|ڦھڪاء
ڦهڪائڻ|ڦھڪائڻ
ڦهڪائي|ڦھڪائي
ڦهڪاٽ|ڦھڪاٽ
ڦهڪارو|ڦھڪارو
ڦهڪڻ|ڦھڪڻ
ڦهڪڻو|ڦھڪڻو
ڦهڪو|ڦھڪو
ڦهل|ڦھل
ڦهلاء|ڦھلاء
ڦهلائڻ|ڦھلائڻ
ڦهلڻ|ڦھلڻ
ڦهنگ|ڦھنگ
ڦهنگر|ڦھنگر
ڦهنگڻ|ڦھنگڻ
ڦهنگون|ڦھنگون
ڦهي|ڦھي
ڦهيار|ڦھيار
ڦهيارو|ڦھيارو
ڦهياري|ڦھياري
ڦهيڙ|ڦھيڙ
ڦهيون|ڦھيون
ڦوٽهڙو|ڦوٽھڙو
ڦوٽهڙي|ڦوٽھڙي
ڦوڙهه|ڦوڙہ
ڦوڙهو|ڦوڙهو
ڦوڙھاٺي|ڦوڙهاٺي
ڦوڳهڙو|ڦوڳھڙو
ڦولهه|ڦولهہ
ڦولھا|ڦولها
ڦولھارڻ|ڦولهارڻ
ڦولھر|ڦولهر
ڦولھڙي|ڦولهڙي
ڦولھڻ|ڦولهڻ
ڦونگھارو|ڦونگهارو
ڦوهارو|ڦوھارو
ڦوهٽو|ڦوھٽو
ڦوهر|ڦوھر
ڦوهرا|ڦوھرا
ڦوهڙ|ڦوھڙ
ڦوهڙو|ڦوھڙو
ڦوهڻ|ڦوھڻ
ڦوهڻي|ڦوھڻي
ڦوهه|ڦوھ
ڦوهياري|ڦوھياري
ڦيٽاهين|ڦيٽاھين
ڦيٽهڙ|ڦيٽھڙ
ڦيٽهڙو|ڦيٽھڙو
ڦيٿڙهه|ڦيٿڙہ
ڦيرگھير|ڦيرگهير
ڦيڙھو|ڦيڙهو
ڦيلھو|ڦيلهو
ڦيلھي|ڦيلهي
ڦيلھيء|ڦيلهيء
ڦينجھاڙي|ڦينجهاڙي
ڦينجھو|ڦينجهو
ڦينگھار|ڦينگهار
ڦيڻاهي|ڦيڻاھي
